ip,port,protocols,anonymity,country,city,latency_ms,uptime_pct,alive,uptime_24h,uptime_7d,reliability
35.152.37.123,8406,http|socks4|socks5,anonymous,IT,Milan,73,76.1,true,92.9,76.1,flaky
54.194.162.228,6709,socks4|socks5,elite,IE,Dublin,73,72.6,true,53.8,72.6,reviving
18.170.45.5,37134,socks4|socks5,elite,GB,City of London,74,61.7,true,69.2,61.7,reviving
35.180.75.159,53253,socks4|socks5,elite,FR,Paris,74,12.3,true,16.7,15.1,reviving
15.160.132.166,17972,socks4,elite,IT,Milan,75,13.1,true,18.2,17.3,reviving
18.157.123.132,3128,http,anonymous,DE,Frankfurt am Main,75,86.5,true,92.3,81.3,reviving
34.246.183.20,13111,https|socks4,elite,IE,Dublin,75,12.5,true,16.7,14.3,reviving
15.224.107.208,7000,socks5,elite,FR,Paris,76,82.7,true,69.2,82.5,reviving
16.18.22.211,31610,socks5,elite,CH,Zurich,76,83.6,true,46.2,83.2,reviving
16.18.37.186,757,https|socks4|socks5,elite,CH,Zurich,76,11.5,true,25.0,16.8,reviving
16.62.123.236,3406,https|socks4|socks5,elite,CH,Zurich,76,14.1,true,8.3,18.9,reviving
18.175.218.194,8097,socks5,elite,GB,City of London,76,100.0,true,100.0,100.0,new
18.170.25.193,17568,https|socks4|socks5,elite,GB,City of London,77,13.7,true,18.2,8.9,reviving
18.170.45.5,25016,http|socks4|socks5,anonymous,GB,City of London,77,69.1,true,53.8,69.1,reviving
18.170.45.5,49885,http|https|socks4|socks5,anonymous,GB,City of London,77,83.6,true,84.6,83.6,reviving
46.51.198.97,21768,socks4|socks5,elite,IE,Dublin,77,70.7,true,58.3,70.7,reviving
63.179.134.206,20,https|socks4|socks5,elite,DE,Frankfurt am Main,77,13.4,true,25.0,17.4,reviving
79.110.192.44,8081,http,elite,PL,Wroclaw,78,91.9,true,100.0,100.0,stable
18.170.25.193,297,https|socks4|socks5,elite,GB,City of London,79,14.2,true,33.3,12.6,reviving
51.94.221.175,3493,https|socks4,elite,ES,Zaragoza,79,86.4,true,92.3,86.3,flaky
15.161.131.175,486,https|socks4|socks5,elite,IT,Milan,80,11.9,true,18.2,14.6,reviving
15.161.131.175,8413,https|socks4|socks5,elite,IT,Milan,80,11.5,true,18.2,14.0,reviving
15.224.107.208,47039,https|socks4|socks5,elite,FR,Paris,80,82.7,true,84.6,82.7,reviving
18.130.190.239,16595,socks4|socks5,elite,GB,City of London,80,84.6,true,84.6,84.6,reviving
34.246.183.20,31976,https|socks4|socks5,elite,IE,Dublin,80,14.2,true,27.3,15.1,reviving
46.51.198.97,20476,https|socks4|socks5,elite,IE,Dublin,80,74.7,true,69.2,74.7,reviving
51.44.97.6,43537,https|socks4|socks5,elite,FR,Paris,80,12.6,true,33.3,16.9,reviving
52.47.115.41,9080,socks4|socks5,elite,FR,Paris,80,14.1,true,33.3,18.2,reviving
